epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,total_loss
0,1.485635311837541e-05,2.3200129362521693e-05,2.4073796112134005e-07,9.023918391903862e-05,0.006427012383937836,0.06963662058115005,0.15855389833450317
1,2.104872328345664e-05,1.6036801753216423e-05,0.00010440314508741722,2.561523433541879e-05,0.00906921923160553,0.018049554899334908,0.06187871843576431
2,3.9948423591340543e-07,2.5964552605728386e-06,2.4537197532481514e-05,2.1020292706452892e-07,0.0026100424584001303,0.012310642749071121,0.03000566177070141
3,5.30173792867572e-07,6.444296104746172e-06,1.8994185666088015e-05,1.393112967207344e-07,0.0032710200175642967,0.011423487216234207,0.02872879058122635
4,7.006832674960606e-06,1.2418170172168175e-06,1.21005650726147e-05,8.482612088300812e-07,0.007068278733640909,0.006681114435195923,0.022550255060195923
5,1.0710255082813092e-05,3.8145856251503574e-07,1.4129383998806588e-05,1.0529225846767076e-07,0.007638226728886366,0.005629919469356537,0.02143070474267006
6,3.354071168359951e-06,1.1125399623779231e-07,2.2071002604207024e-05,7.754715625196695e-08,0.005070563405752182,0.004324772395193577,0.016281496733427048
7,1.0613257472869009e-06,4.059902494191192e-07,3.7599470488203224e-06,1.800015212438666e-07,0.002076675184071064,0.0020981018897145987,0.0068136053159832954
8,2.865476744773332e-10,2.540288335239893e-08,2.022558419412235e-06,1.0966920171995298e-07,0.00036845396971330047,0.0012019214918836951,0.0029880886431783438
9,9.263981723961479e-07,7.748077734959224e-08,5.263614752948342e-07,8.995177722681547e-07,0.0003213985764887184,0.0008288946119137108,0.00222216360270977
10,3.364839926689456e-07,1.2840979479733505e-07,3.467960141279036e-07,6.594311798835406e-07,9.259847865905613e-05,0.0008988123736344278,0.0020373354200273752
11,1.2423484463397472e-08,1.448832023243085e-07,7.313797709684877e-07,8.325246767526551e-07,3.1689116440247744e-05,0.0007954193861223757,0.0017946490552276373
12,2.5669578462839127e-08,3.016749872131186e-08,3.434345217101509e-07,8.995177722681547e-07,1.1719735084625427e-05,0.0008051570621319115,0.0017519127577543259
13,9.547511581331491e-08,1.5877063219704723e-08,3.0700994102517143e-07,1.018055627355352e-06,3.267738429713063e-05,0.0007787281647324562,0.001733775483444333
14,3.205974508091458e-08,2.494871864655579e-09,1.8663649825612083e-07,9.360612693853909e-07,5.576578405452892e-05,0.0007616844959557056,0.0016948600532487035
15,2.4711113155717612e-09,1.3833414413966238e-09,1.9098757775282138e-07,8.963548339124827e-07,5.230869282968342e-05,0.0007634643698111176,0.001688357093371451
16,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
